Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,CCU channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED Fiber,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID,Cooling loop,tkFEC connection,,,,,,,
FPix_BmI_D1_BLD11_PNL1_RNG1,,11B,M-L-4-01,7036,10,1Bd,1BD,2,PR005,portcard_FPix_BmI_D1_PRT4,PB-29,J11,2,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P120,D21,SN122498/0081,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,1,FPix -z down left 6,4,14,blue-1,13,25/26,7,b,1326,down center,14,10,1,2,D1-RG4-HV2,,1300,mA,2,,BpI = FPix Near +   --> top crate,,,,,
FPix_BmI_D1_BLD1_PNL2_RNG2,HC1-Disk1-Outer,1T,M-L-4-46,8010,9,1Ta,1TA,7,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,3,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A1,SN122498/0045,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,6,FPix -z up left 3,5,1,orange-2,2,3/4,1,t,1320,down center,13,9,1,1,D1-RG1-HV1,,1294,mA,2,BmI,BmO = FPix Far -   --> bottom crate,,,,,
FPix_BmI_D1_BLD2_PNL2_RNG2,,2T,M-M-3-42,8026,8,1Ta,1TA,5,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,3,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A2,SN122498/0041,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,5,FPix -z up left 3,5,2,orange-2,14,27/28,1,b,1320,down center,13,9,1,1,D1-RG1-HV1,,1294,mA,2,,BpO = FPix Far+ --> up center crate,,,,,
FPix_BmI_D1_BLD3_PNL2_RNG2,,3T,M-M-4-03,8044,7,1Ta,1TA,3,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,3,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A3,SN122498/0046,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,4,FPix -z up left 3,5,3,orange-2,2,3/4,2,t,1321,down center,13,9,1,1,D1-RG1-HV1,,1295,mA,2,,,,,,,
FPix_BmI_D1_BLD4_PNL2_RNG2,,4T,M-K-3-33,8013,6,1Ta,1TA,1,PR115,portcard_FPix_BmI_D1_PRT1,PB-12,J12,3,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P97,A4,SN122498/0047,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,3,FPix -z up left 3,5,4,orange-2,14,27/28,2,b,1321,down center,13,9,1,1,D1-RG1-HV1,,1295,mA,2,,,,,,,
FPix_BmI_D1_BLD5_PNL2_RNG2,,5T,M-K-2-20,8033,11,1Tb,1TB,7,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,3,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,A4,SN122498/0047,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,3,FPix -z up left 3,5,4,brown-4,16,31/32,2,b,1321,down center,13,9,1,2,D1-RG2-HV1,,1295,mA,2,,mfec 1 --> bottom (lower mezzanine),,,,,
FPix_BmI_D1_BLD6_PNL2_RNG2,,6T,M-K-2-22,8029,10,1Tb,1TB,5,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,3,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,A5,SN122498/0028,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,2,FPix -z up left 3,5,5,brown-4,4,7/8,3,t,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,mfec 2 --> down center (lower mezzanine),,,,,
FPix_BmI_D1_BLD7_PNL2_RNG2,,7T,M-L-2-12,8032,9,1Tb,1TB,4,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,4,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,B6,SN122498/0043,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,1,FPix -z up left 3,5,6,orange-2,14,27/28,3,b,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,mfec 3 --> up center (upper mezzanine),,,,,
FPix_BmI_D1_BLD8_PNL2_RNG2,,8T,M-M-1-01,8065,8,1Tb,1TB,3,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,3,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,B6,SN122498/0043,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,1,FPix -z up left 3,5,6,brown-4,16,31/32,3,b,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,mfec 4 --> top (upper mezzanine),,,,,
FPix_BmI_D1_BLD9_PNL2_RNG2,,9T,M-L-4-03,8057,7,1Tb,1TB,1,PR117,portcard_FPix_BmI_D1_PRT2,PB-1,J12,3,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P98,B7,SN122498/0044,B8,30201210004620,B,0x7c,0x10,FPix -z up left 3,6,FPix -z up left 3,5,7,brown-4,4,7/8,4,t,1323,down center,13,9,1,2,D1-RG2-HV1,,1297,mA,2,,mfecchannel 1 --> lower one (within mezzanine bottom and up center),,,,,
FPix_BmI_D1_BLD10_PNL2_RNG2,,10T,M-M-1-19,8054,9,1Tc,1TC,7,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,3,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,C15,SN122498/0035,C12,30201210004691,A,0x7e,0x10,FPix -z down left 6,1,FPix -z down left 6,4,8,orange-2,14,27/28,4,b,1323,down center,14,10,1,1,D1-RG3-HV1,,1297,mA,2,,mfecchannel 2 --> upper one (within mezzanine down center and top),,,,,
FPix_BmI_D1_BLD11_PNL2_RNG2,,11T,M-L-1-10,8060,8,1Tc,1TC,5,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,3,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,C16,SN122498/0039,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,6,FPix -z down left 6,4,9,orange-2,2,3/4,5,t,1324,down center,14,10,1,1,D1-RG3-HV1,,1298,mA,2,,,,,,,
FPix_BmI_D1_BLD12_PNL2_RNG2,,12T,M-L-1-06,8067,7,1Tc,1TC,3,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,3,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,D17,SN122498/0027,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,5,FPix -z down left 6,4,10,orange-2,14,27/28,5,b,1324,down center,14,10,1,1,D1-RG3-HV1,,1298,mA,2,,"HV group: Disk(1-3) PCStack(a-d in phi) Group(1-4): 1 bottom PC inner, 2 bottom PC outer, 3 top PC inner, 4 top PC outer",,,,,
FPix_BmI_D1_BLD13_PNL2_RNG2,,13T,M-Y-Q-NE,8062,6,1Tc,1TC,1,PR124,portcard_FPix_BmI_D1_PRT3,PB-19,J12,3,dcdc_FPix_BmI_D1_PRT3,Disk1_RG3,CI-A 045,P43,D18,SN122498/0048,C12,30201210004691,A,0x7e,0x10,FPix -z down left 5,4,FPix -z down left 6,4,11,orange-2,2,3/4,6,t,1325,down center,14,10,1,1,D1-RG3-HV1,,1299,mA,2,,,,,,,
FPix_BmI_D1_BLD14_PNL2_RNG2,,14T,M-M-1-42,8008,9,1Td,1TD,7,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,3,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D18,SN122498/0048,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,4,FPix -z down left 6,4,11,brown-4,4,7/8,6,t,1325,down center,14,10,1,2,D1-RG4-HV1,,1299,mA,2,,,,,,,
FPix_BmI_D1_BLD15_PNL2_RNG2,,15T,M-L-1-15,8059,8,1Td,1TD,5,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,3,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D19,SN122498/0052,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,3,FPix -z down left 6,4,12,brown-4,16,31/32,6,b,1325,down center,14,10,1,2,D1-RG4-HV1,,1299,mA,2,,,,,,,
FPix_BmI_D1_BLD16_PNL2_RNG2,,16T,M-M-1-48,8053,7,1Td,1TD,3,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,3,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D20,SN122498/0051,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,2,FPix -z down left 6,4,13,brown-4,4,7/8,7,t,1326,down center,14,10,1,2,D1-RG4-HV1,,1300,mA,2,,,,,,,
FPix_BmI_D1_BLD17_PNL2_RNG2,,17T,M-L-4-18,8046,6,1Td,1TD,1,PR123,portcard_FPix_BmI_D1_PRT4,PB-29,J12,3,dcdc_FPix_BmI_D1_PRT4,Disk1_RG4,CI-A 006,P45,D21,SN122498/0081,C12,30201210004691,B,0x7d,0x10,FPix -z down left 5,1,FPix -z down left 6,4,14,brown-4,16,31/32,7,b,1326,down center,14,10,1,2,D1-RG4-HV1,,1300,mA,2,,,,,,,
FPix_BmI_D1_BLD1_PNL1_RNG2,,1B,M-M-2-19,8003,5,1Ba,1BA,7,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,1,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A1,SN122498/0045,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,6,FPix -z up left 3,5,1,blue-1,1,1/2,1,t,1320,down center,13,9,1,1,D1-RG1-HV1,,1294,mA,2,,,,,,,
FPix_BmI_D1_BLD2_PNL1_RNG2,,2B,M-K-3-22,8002,4,1Ba,1BA,5,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,1,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A2,SN122498/0041,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,5,FPix -z up left 3,5,2,blue-1,13,25/26,1,b,1320,down center,13,9,1,1,D1-RG1-HV1,,1294,mA,2,,,,,,,
FPix_BmI_D1_BLD3_PNL1_RNG2,,3B,M-I-4-19,8043,3,1Ba,1BA,3,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,1,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A3,SN122498/0046,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,4,FPix -z up left 3,5,3,blue-1,1,1/2,2,t,1321,down center,13,9,1,1,D1-RG1-HV1,,1295,mA,2,,,,,,,
FPix_BmI_D1_BLD4_PNL1_RNG2,,4B,M-L-1-30,8009,2,1Ba,1BA,1,PR015,portcard_FPix_BmI_D1_PRT1,PB-12,J11,1,dcdc_FPix_BmI_D1_PRT1,Disk1_RG1,CI-A 008,P46,A4,SN122498/0047,B8,30201210004620,A,0x7b,0x10,FPix -z up left 2,3,FPix -z up left 3,5,4,blue-1,13,25/26,2,b,1321,down center,13,9,1,1,D1-RG1-HV1,,1295,mA,2,,,,,,,
FPix_BmI_D1_BLD5_PNL1_RNG2,,5B,M-M-3-41,8039,6,1Bb,1BB,7,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,1,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,A4,SN122498/0047,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,3,FPix -z up left 3,5,4,green-3,15,29/30,2,b,1321,down center,13,9,1,2,D1-RG2-HV1,,1295,mA,2,,,,,,,
FPix_BmI_D1_BLD6_PNL1_RNG2,,6B,M-L-4-22,8028,5,1Bb,1BB,5,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,1,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,A5,SN122498/0028,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,2,FPix -z up left 3,5,5,green-3,3,5/6,3,t,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,,,,,,
FPix_BmI_D1_BLD7_PNL1_RNG2,,7B,M-M-4-02,8034,4,1Bb,1BB,4,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,2,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,B6,SN122498/0043,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,1,FPix -z up left 3,5,6,blue-1,13,25/26,3,b,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,,,,,,
FPix_BmI_D1_BLD8_PNL1_RNG2,,8B,M-M-4-06,8038,3,1Bb,1BB,3,PR017,portcard_FPix_BmI_D1_PRT2,PB-1,J11,1,dcdc_FPix_BmI_D1_PRT2,Disk1_RG2,CI-A 014,P95,B6,SN122498/0043,B8,30201210004620,B,0x7c,0x10,FPix -z up left 2,1,FPix -z up left 3,5,6,green-3,15,29/30,3,b,1322,down center,13,9,1,2,D1-RG2-HV1,,1296,mA,2,,,,,,,
